`,holderstaffflag,policyriskcommencementdate,policytechnicalid_m,holdertechnicalid_m,contactcity_m,contactareatype_m,policy_annualized_premium,contactpostcode_m,policybenefitterm,policynumber_m,agentownlifeflag,channeltype_m,contactstate_m,banktechnicalid_m,channeltechnicalid_m,serviceregionnameops_m,edc,requirementnonmedicalflag,underwritingdecisionstatus_m,policytype_m,productplan,um_bdm_code_m,premiumpaymentfrequency_m,servicebranchops_m,policytypesub_m,policy_sum_assured,hniflag,underwritingexpressflag,vedc,productid_m,requirementmedicalflag,nomineerelation_m,holdermaritalstatus,holdereducation,holdercountry_m,beneficiaryrelation_m,lifeassuredrelation_m,lifeassuredgender_m,natureofduties,holdernationalite,holderqualification,gogreenflag,preferredlanguage_m,holder_annual_income,panverified,holderoccupation,premiumpaymentfrequency
2606,No,3/2/21,f5d067c26b,193bad7c22,092d67,58,200000,837559,17,b53cf74996,N,e62e,aedf2f,a4c71e,e162634f90,c586,0,0,a48c,c4e8,Series 2,9279385,d4cd,0ad84d,c4e8,0,N,0,0,2734,0,fc,Married,Graduate,INDIA,a9,a9,aa,TEACHER,,Graduate,N,ENGLISH,720000,N,Service,Yearly
2607,No,4/2/21,e7ec755dc8,767d396f8f,796548,58,51125,995510,15,fe80d90069,N,f3e3,41f1b0,628ee3,7b4e24be5b,f7b0,0,1,a48c,2ed4,Series 3,5,d4cd,072dba,803,420000,N,0,0,56ca,0,12,Single,Graduate,INDIA,a9,a9,aa,CHIEF SUB EDITOR,,Graduate,N,HINDI,540000,N,Service,Yearly
2608,No,3/2/21,0f3da3130c,1c5d1153ff,092d67,58,132000,837559,10,a8119143ae,N,331f,aedf2f,7e495a,1be30931e9,c586,0,1,edce,c4e8,Plan T - Series 2,9970913,37bf,c26739,c4e8,1320000,N,0,0,becc,0,fc,Married,PG / Professional,INDIA,a9,a9,aa,ASSISTANT TEACHER,,Post Graduate,N,HINDI,360000,N,Service,Monthly
2609,No,29/1/21,7bae2ae043,11d552316a,4aca95,58,46909.44,889254,20,3ddd5eb3d6,N,f3e3,c0a4a4,68b9e0,8aa2876abf,f7b0,0,1,edce,803,Series 3,5,37bf,82a624,803,792000,N,0,0,5876,0,12,Single,Intermediate (10+2),INDIA,a9,a9,,CONSTABLE,,HSC,N,HINDI,500000,N,BSF,Monthly
2610,No,3/2/21,5bcecf0b82,e36bab7db9,0ff3a2,2483,100000,247741,10,cffd4f51d5,N,e62e,766048,69be50,07233cd98b,047e,0,1,edce,c4e8,Series 2,9995147,d4cd,81c842,c4e8,0,N,0,0,2734,0,42,Married,Graduate,INDIA,a9,a9,aa,SHAMAL TAILOR SHOP,,Graduate,Y,GUJARATI,500000,N,Business,Yearly
2611,No,1/2/21,798ab58a35,f08058e4bf,47da1a,58,50000,845112,10,da4f24733a,N,e62e,aedf2f,1.50E+14,8437b6500d,c586,0,1,a48c,c4e8,Series 2,5352918,d4cd,2a5e2e,c4e8,0,N,0,0,2734,0,1f,Married,Graduate,INDIA,a9,a9,aa,CONSTABLE,,Graduate,N,HINDI,600000,N,Service,Yearly
2612,No,18/2/21,8a2337b09d,843635c40f,380b6f,58,50000,191559,15,746a35cf6d,N,331f,b629fd,7e495a,00ef9750d6,b629,0,,edce,c4e8,Series 2,5673489,d4cd,21afb2,c4e8,500000,N,0,0,efc5,1,c7,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,ENGLISH,1200000,N,Housewife,Yearly
2613,No,4/2/21,6628110593,87deeea1c0,4fcfa5,58,50000,805554,12,bf2018020b,N,e62e,acb844,d1ed84,596fcc915f,c586,0,1,edce,c4e8,Series 2,9559416,d4cd,315d9d,c4e8,500000,N,0,0,efc5,0,12,Single,Graduate,INDIA,a9,a9,aa,STUDENT,,Graduate,N,HINDI,300000,N,Student,Yearly
2614,No,5/3/21,f47c40018b,1260f14782,77c781,2483,,732750,17,fef7216f7c,N,,b78361,7e495a,02f6535a2f,f7b0,0,1,edce,2ed4,Endowment Plan - Series 4,5283444,d4cd,971ffa,803,315000,N,0,0,1bb6,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,AGRICULTURIST,,HSC,N,HINDI,300000,N,Agriculturist,Yearly
2615,No,25/2/21,0346ab34d5,b12e8c9d77,80aa20,58,100000,737902,12,dc64c71aac,N,e62e,b78361,be07e6,6c7c1b748a,f7b0,0,1,edce,c4e8,Series 2,9553127,d4cd,c9c5ae,c4e8,1000000,N,0,0,efc5,0,fc,Married,Graduate,INDIA,a9,a9,aa,TEACHER,,Graduate,N,HINDI,600000,N,Service,Yearly
2616,No,3/2/21,8947367107,6609d0e97a,972b01,58,430000,125553,10,074b123063,N,e62e,b629fd,40be2a,7eff6dc608,b629,0,1,edce,c4e8,Series 2,5119916,d4cd,7b4d3f,c4e8,0,Y,0,0,2734,0,1f,Married,Graduate,INDIA,a9,a9,aa,MULTITECH CONSTRUCTIONS,,Graduate,N,ENGLISH,3600000,N,Business,Yearly
2617,No,4/2/21,7c8154a94b,da163aa96d,2c8351,2483,50000,844229,,10ca40d90b,N,e62e,aedf2f,87e7f5,694c21cde0,c586,0,0,a48c,c4e8,Series 2,9980475,d4cd,3a5d56,c4e8,500000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,CONSTABLE,,Graduate,N,HINDI,480000,N,Service,Yearly
2618,No,11/2/21,5c17f69966,e4fc8fac27,6bf7f2,2483,102250,833994,15,159c704bb9,N,e62e,aedf2f,52e64b,e7226b9ca3,c586,0,,edce,2ed4,Series 3,9949183,d4cd,b363b3,803,840000,N,0,0,56ca,1,46,Single,Graduate,INDIA,a9,a9,aa,BUSINESSES,,Graduate,N,HINDI,600000,N,Business,Yearly
2619,No,5/2/21,f660e8540d,4c966ee1fd,dd38dd,2483,13315,738980,,322b0735d4,N,e62e,b78361,8aa4dc,52ac91f70c,f7b0,0,1,a48c,2ed4,Series 2,9976066,d4cd,3103b7,5743,850000,N,0,0,81db,0,12,Single,Graduate,INDIA,a9,a9,aa,TEACHER,,Graduate,N,HINDI,420000,N,Service,Yearly
2620,No,5/2/21,c320e81bd4,1a3bc607a8,e24d1c,58,30000,869777,12,0e4996350e,N,e62e,aedf2f,e21390,dff3e8eaf4,c586,0,1,a48c,c4e8,Series 2,5047346,d4cd,2a5e2e,c4e8,300000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,ASSISTANT TEACHER,,Graduate,N,HINDI,420000,N,Service,Yearly
2621,No,5/2/21,dfe0826fc8,350fdf3074,d931d2,2483,99900,733559,12,4240487215,N,e62e,b78361,a011e4,95a6523a3b,f7b0,0,1,edce,c4e8,Series 2,5105446,d4cd,3103b7,c4e8,999000,N,0,0,efc5,0,,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,HINDI,305000,N,Housewife,Yearly
2622,No,2/2/21,47b5220953,4499b0c277,c20544,2483,153375,257597,12,01b876d94e,N,e62e,f114ce,c8973d,d01c83207b,eca2,0,1,a48c,2ed4,Series 1,9916124,d4cd,9709ef,803,1047000,Y,0,0,671a,0,c7,Married,,INDIA,a9,a9,9c,SENIOR MEDICAL OFFICER,,Post Graduate/Professional,N,ENGLISH,1800000,N,Service,Yearly
2623,No,2/2/21,a3713c7b24,066d2a03ec,86c8be,58,29607.52,179957,12,bdc053974c,N,,b629fd,ce1e2d,e3b9b80ef7,b629,0,1,a48c,803,Series 3,5003578,d4cd,2864ab,803,190000,N,,0,5876,0,12,Single,Graduate,INDIA,a9,a9,aa,PANCHAYAT RAJ SECRETARY,,Graduate,N,TELGU,660000,N,Service,Yearly
2624,No,2/2/21,bbc2d55c1e,3cdcb38816,b94056,58,2500,729559,15,a86ac01b9b,N,331f,b78361,7e495a,fdaba4f9cb,f7b0,0,0,a48c,2ed4,Series 2,93265569,d4cd,8bef14,5743,137500,N,0,0,b68b,0,c7,Married,Graduate,INDIA,a9,a9,aa,,,Graduate,N,HINDI,240000,N,Business,Yearly
2625,No,20/2/21,b7767aacbb,970f4d1b67,debb51,58,29878.92,801991,20,454c9dd8b5,N,331f,acb844,7e495a,5a2c73040d,c586,0,1,,2ed4,Series 3,5286116,37bf,c0d45f,803,500000,N,0,0,8ce3,0,3d,Married,Graduate,INDIA,a9,fc,aa,ASSISTANT TEACHER,,Graduate,N,HINDI,576000,N,Service,Monthly
2626,No,19/1/21,53434e63c3,52326866f9,6e40dc,2483,50000,739457,12,4c50c9996f,N,f3e3,b78361,ccae23,4276b1e3e8,f7b0,0,1,edce,c4e8,Series 2,5,d4cd,189fac,,500000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,AGRICULTURIST,,Graduate,N,ENGLISH,360000,N,Agriculturist,Yearly
2627,No,16/2/21,153b470c39,4225f5f1fb,3d7c89,58,50000,747359,12,fe40aa1cce,N,e62e,b78361,b44dc6,160a7140fe,f7b0,0,1,edce,c4e8,Series 2,5268620,d4cd,82a624,c4e8,500000,N,0,0,efc5,0,1b,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,HINDI,525000,N,Housewife,Yearly
2628,,18/3/21,299942853e,40524e1f03,ea2314,2483,23487.9,797153,43,9f7572179a,N,e62e,b78361,200020,324597f6ea,f7b0,0,1,edce,2ed4,Level Term Assurance - Series 6,9713812,d4cd,072dba,5743,10000000,N,0,0,8fe6,1,1f,Married,Graduate,INDIA,a9,a9,aa,SENIOR ASSISTANT,,Graduate,N,HINDI,500000,N,Service,Yearly
2629,No,8/2/21,14ae9e3ccd,6a3b4f4449,5e9ab8,58,5000,737557,15,941d834c0d,N,331f,b78361,7e495a,d0236a7229,f7b0,0,1,edce,2ed4,Series 2,5014035,d4cd,81afbf,5743,350000,N,0,0,b68b,0,42,Single,School (upto 10th),INDIA,a9,a9,aa,Mobile Shop,2,SSC,N,HINDI,300000,N,Business,Yearly
2630,No,3/2/21,49c1f6acc2,a7f025e2ac,49dfcf,2483,5000,268785,15,b0de9a6341,N,331f,766048,7e495a,bb920eda6e,047e,0,1,edce,2ed4,Series 2,5957182,d4cd,ecc1a4,5743,,N,0,0,b68b,0,fc,Married,Graduate,INDIA,a9,a9,aa,,,Graduate,N,GUJARATI,360000,N,Service,Yearly
2631,No,2/2/21,610104cfde,a8b2b1fe40,2d7ce8,58,30000,831221,12,11b3cb78e4,N,331f,aedf2f,7e495a,8f2fe28745,c586,0,0,a48c,c4e8,Series 2,9923686,d4cd,04f014,c4e8,,N,0,0,efc5,0,1f,Married,PG / Professional,INDIA,a9,a9,aa,BANK OFFICER,,Post Graduate,N,HINDI,720000,N,Service,Yearly
2632,No,10/2/21,b9be4568c4,dbd98aeea8,274f81,58,240000,268559,10,1b78dadd11,N,e62e,766048,210cda,4758042a84,047e,0,1,edce,c4e8,,5065549,d4cd,dda782,c4e8,0,N,0,0,2734,0,1b,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,GUJARATI,900000,N,Housewife,Yearly
2633,No,4/2/21,66ff7c9e3a,7ce6e42eaf,7e495a,58,800000,5,10,a13f66bf83,N,e62e,c604f7,34992,5c739278aa,047e,0,1,edce,c4e8,Series 2,9765410,d4cd,cf21a5,c4e8,8000000,Y,0,0,8625,0,1f,Married,Graduate,PIO/OCI,a9,a9,aa,GAS STATION,,Graduate,N,ENGLISH,6000000,N,Business,Yearly
2634,No,18/1/21,206b9f50ec,fb077d2039,948518,58,180000,125583,10,59a1f58c86,N,331f,b629fd,7e495a,e9ae548bb3,b629,0,1,edce,c4e8,Series 2,5913419,738a,78f29a,c4e8,0,Y,0,0,2734,0,3d,Married,Graduate,INDIA,a9,a9,aa,SOFTWARE ENGINEER,,Graduate,N,TELGU,2160000,N,Service,Single
2635,No,21/1/21,338de0c2d9,5439374dee,d9a160,58,91264.26,788077,10,d54b6b24d2,N,331f,b78361,7e495a,af48887699,f7b0,0,1,edce,2ed4,Endowment Plan - Series 4,5269389,d4cd,ecb8c7,803,800000,N,0,0,1bb6,1,1f,Married,Graduate,INDIA,a9,a9,,ASSTT TEACHER,,Graduate,N,HINDI,732000,N,Service,Yearly
2636,No,14/1/21,1bd8becefe,1da1849806,161c37,58,70000,789252,12,47b5d3755e,N,e62e,b78361,b92ba6,3c465e2225,f7b0,0,0,edce,c4e8,Series 2,9703108,d4cd,8a5830,c4e8,700000,N,0,0,efc5,0,1f,Married,School (upto 10th),INDIA,a9,a9,aa,AGRICULTURIST,,SSC,N,HINDI,312000,N,Agriculturist,Yearly
2637,No,31/1/21,c9c1cc02c1,17418fee49,701784,58,5000,756559,10,c78f811d82,N,331f,b78361,7e495a,9038bbee79,f7b0,0,1,edce,2ed4,Series 2,5143343,d4cd,8a5830,5743,400000,N,0,0,b68b,0,12,Single,Intermediate (10+2),INDIA,a9,a9,aa,STUDENT,,HSC,N,HINDI,1200000,N,Student,Yearly
2638,No,31/1/21,c6083402af,cc9cf4172e,cca4e0,58,3000,242559,15,36f7c2e8f9,N,331f,766048,7e495a,47584636cd,047e,0,1,edce,2ed4,Series 2,5103860,d4cd,deb3ed,5743,285000,N,0,0,b68b,0,46,Single,Intermediate (10+2),INDIA,a9,a9,9c,,,HSC,N,GUJARATI,216000,N,Self-Employed,Yearly
2639,No,30/1/21,6dd20fa296,ed95bd30ad,13a0d9,2483,5000,725857,10,b63276b700,N,331f,b78361,7e495a,1cc6c01f7f,f7b0,0,0,a48c,2ed4,Series 2,9550610,d4cd,e52176,5743,400000,N,0,0,b68b,0,12,Single,School (upto 10th),INDIA,a9,a9,aa,,,SSC,N,HINDI,180000,N,Service,Yearly
2640,No,31/1/21,4d01b6b07c,3b94534ec4,c8c19b,58,5000,201593,15,bc9d756c19,N,331f,766048,7e495a,eb6918ba54,047e,0,0,edce,2ed4,Series 2,5925598,d4cd,920b37,5743,200000,N,0,0,b68b,0,1f,Married,Graduate,INDIA,a9,a9,aa,OWNER,,Graduate,N,ENGLISH,600000,N,Business,Yearly
2641,No,21/1/21,1523307054,488c6672ac,,2483,51125,808222,12,fd1065a29b,N,e62e,acb844,e9c938,f8bf776715,c586,0,1,a48c,2ed4,Series 3,9550847,d4cd,315d9d,803,300000,N,0,0,56ca,0,3d,Married,Intermediate (10+2),INDIA,a9,a9,9c,AGRICULTURIST,,HSC,N,HINDI,300000,N,Agriculturist,Yearly
2642,No,22/1/21,39ccbcd69d,c70b46d9b6,85e1bf,58,51125,817554,12,723ef3886d,N,e62e,aedf2f,df2e30,189f336d56,c586,0,0,a48c,2ed4,Series 3,5033050,d4cd,b7e9a7,803,315000,N,0,0,56ca,0,c7,Married,Graduate,INDIA,a9,a9,9c,PROPRITER,,Graduate,N,HINDI,600000,N,Business,Yearly
2643,No,22/1/21,5a17e4acc0,cc1584d4b6,092d67,58,51125,837226,12,d07473b84d,N,e62e,aedf2f,4443a8,f2b0e6719e,c586,0,0,a48c,2ed4,Series 3,9279385,d4cd,0ad84d,803,315000,N,0,0,56ca,0,46,Single,Graduate,INDIA,a9,a9,aa,PATWARI,,Graduate,N,HINDI,304800,N,Service,Yearly
2644,No,30/1/21,ef1760cd8d,c2d08b4937,,58,102250,204245,12,a23cd31b88,N,331f,766048,7e495a,097ccbb170,047e,0,1,edce,2ed4,Series 1,5122012,d4cd,41977e,803,684000,N,0,0,671a,0,1b,Married,Graduate,INDIA,a9,a9,9c,TEACHER,,Graduate,N,GUJARATI,600000,N,Service,Yearly
2645,No,22/1/21,94a0e0abb7,2dbffb520b,42aeff,58,26196.6,409105,15,a1f3a4cf79,N,331f,99ff4a,7e495a,2281525b4c,eca2,0,1,edce,2ed4,Endowment Plan - Series 4,5039952,37bf,9c3288,803,350000,N,0,0,1bb6,0,12,Single,Intermediate (10+2),INDIA,a9,a9,aa,SIPAHI,,HSC,N,HINDI,350000,N,Army,Monthly
2646,No,30/1/21,904d9f96ce,fa1f7fffd8,7f7eaa,2483,14515.48,784371,10,a84304e943,N,e62e,b78361,1dc39f,5cdb7baa57,f7b0,0,1,edce,2ed4,Endowment Plan - Series 4,9578946,d4cd,ecb8c7,803,,N,0,0,1bb6,1,12,Single,Intermediate (10+2),INDIA,a9,a9,aa,AGRICULTURIST,,HSC,N,HINDI,240000,N,Agriculturist,Yearly
2647,No,5/2/21,dc78e854d7,3503fb6dbf,eb31d7,58,200000,782552,12,7331ed4688,N,e62e,b78361,fabcda,5250cd8b21,f7b0,0,1,edce,c4e8,Plan Platinum Cover - Series 3,9707997,d4cd,ecb8c7,c4e8,2000000,Y,0,0,2a44,0,1f,Married,Graduate,INDIA,a9,a9,aa,SOLUTION ARCEHITECT,,Graduate,N,HINDI,2800000,N,Service,Yearly
2648,No,15/2/21,10fd3315b8,c549751ecb,ff1e35,58,50000,254459,12,77cf312daf,N,e62e,f114ce,68da56,383a7c3996,eca2,0,1,a48c,c4e8,Series 2,5384307,d4cd,9709ef,c4e8,500000,N,0,0,efc5,0,46,Single,School (upto 10th),INDIA,a9,a9,aa,SELF EMPLOYED,,SSC,N,HINDI,270000,N,Self-Employed,Yearly
2649,No,16/2/21,39a5054b4f,a83e7a7361,b1013f,58,7936.56,121558,15,ca0c09a244,N,331f,b629fd,7e495a,f4b9b661ee,b629,0,1,edce,2ed4,Endowment Plan - Series 4,5190329,bf55,fef6ee,803,100000,N,0,0,1bb6,1,3d,widowed,School (upto 10th),INDIA,a9,a9,9c,CLOTH MERCHANT,,Below SSC,N,TELGU,230000,N,Business,Half yearly
2650,No,11/1/21,f6507a4610,276d41232a,7412b2,58,16117.67,277798,10,9868f8fc41,N,e62e,f114ce,e0c08e,8a8f640bef,0ff1,0,1,edce,2ed4,Series 2,9971068,d4cd,666be9,5743,1100000,N,0,0,81db,0,46,Married,Graduate,INDIA,a9,a9,aa,ASSISTANT LOCAL PAILOT,,Graduate,N,ENGLISH,660000,N,Service,Yearly
2651,No,8/1/21,fe6b43aca1,cb1169760f,bdeba5,58,20668.82,835558,10,4.48E+09,N,e62e,aedf2f,d2f3ef,46b777b51f,c586,0,1,edce,2ed4,Series 2,9713841,d4cd,ac716a,5743,600000,N,0,0,81db,,1f,Married,Graduate,INDIA,a9,a9,aa,TEACHER,,Graduate,N,HINDI,600000,Y,Service,Yearly
2652,No,8/1/21,51692300ad,dfdd7a2a71,dbc0e5,58,38752.76,196848,10,31512c1dc1,N,e62e,b629fd,f9238b,aafea867d8,b629,0,1,edce,2ed4,Series 2,9981520,d4cd,b0a11d,5743,1250000,N,0,0,81db,0,1f,Married,Graduate,INDIA,a9,a9,aa,TEACHER,,Graduate,N,TELGU,648000,N,Service,Yearly
2653,No,8/2/21,fcd0ee9eef,8712aa992d,,58,60000,196777,14,b424557ac8,N,e62e,b629fd,375389,96160071b1,b629,0,1,edce,c4e8,Series 2,9758255,d4cd,21afb2,c4e8,600000,Y,0,0,efc5,0,1b,Married,Graduate,INDIA,a9,a9,9c,TEACHER,,Graduate,N,TELGU,540000,N,Service,Yearly
2654,No,5/2/21,436e2d18df,186f56b5d0,ee961c,58,40000,747757,12,452a89d557,N,e62e,b78361,90db6c,71044e930f,f7b0,0,0,,c4e8,Series 2,9291918,d4cd,82a624,c4e8,400000,N,0,0,efc5,0,1b,Married,Intermediate (10+2),INDIA,a9,a9,9c,MEDICAL DEPARTMENT,,HSC,N,HINDI,480000,N,Service,Yearly
2655,No,8/2/21,6f56ab207d,93dcbf6171,bdeba5,58,102250,835552,12,0b5cc1ccfe,N,e62e,aedf2f,89cf93,c78b0462bd,c586,0,1,edce,2ed4,Series 1,9592414,d4cd,ac716a,803,708000,N,0,0,671a,0,3d,Married,PG / Professional,INDIA,a9,a9,9c,ONLINE TEACHING,,Post Graduate,N,HINDI,301000,N,Profession,Yearly
2656,No,30/1/21,ba493f8335,7d59eebf0a,9fc4f9,2483,31263.96,808334,10,fd898d08f1,N,e62e,acb844,46e537,5bcb54590d,c586,0,1,edce,2ed4,Series 2,9553820,d4cd,315d9d,5743,800000,N,0,0,81db,0,1f,Married,Graduate,INDIA,a9,a9,aa,TEACHER,,Graduate,N,HINDI,480000,N,Service,Yearly
2657,No,31/1/21,4fecd13b76,12a14fbbec,5c9375,58,42622.92,221559,30,87f4d76a3e,N,331f,f114ce,7e495a,79353e47b0,eca2,0,1,edce,2ed4,Series 2,5741798,d4cd,9c3288,5743,2100000,N,0,0,81db,1,1b,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,HINDI,420000,N,Housewife,Yearly
2658,No,28/1/21,ac018d1bb6,86fa4d93d0,2b1c95,58,161752.75,863559,57,21ae4267cf,N,45c9,aedf2f,7e495a,cd76cfe44e,c586,0,0,a48c,aaac,Series 15,5,738a,5d949d,aaac,0,N,0,0,f92e,0,1f,Married,Uneducated,INDIA,a9,a9,aa,,,(None),N,ENGLISH,0,N,,Single
2659,No,15/2/21,5eee24974a,9b3028e299,7f7eaa,58,30000,784321,12,e283f87a9e,N,e62e,b78361,6eef6b,ca5fe92647,f7b0,0,1,a48c,c4e8,Series 2,9766266,d4cd,82a624,c4e8,300000,N,0,0,efc5,0,12,Single,Graduate,INDIA,a9,a9,aa,TRACK MAN,,Graduate,N,ENGLISH,360000,N,Service,Yearly
2660,No,4/2/21,f8358072a7,6a30617735,994584,58,2500,739659,15,6acd0c1d99,N,331f,b78361,7e495a,5b29a281c5,f7b0,0,0,a48c,2ed4,Series 2,5372627,d4cd,9a9c42,5743,237500,N,0,0,b68b,0,46,Married,School (upto 10th),INDIA,a9,a9,aa,,,SSC,N,HINDI,180000,N,Business,Yearly
2661,No,24/2/21,04fcd23b26,41a1fb36b4,6cc8ff,58,60000,679959,10,cf5fba6992,N,331f,a82c2d,7e495a,8a6476dc34,f7b0,0,1,edce,c4e8,Plan T - Series 2,5022495,37bf,81123a,c4e8,600000,N,0,0,,0,c7,Married,Intermediate (10+2),INDIA,a9,a9,aa,GENARL STORE SHOP,,HSC,N,HINDI,360000,N,Self-Employed,Monthly
2662,No,6/2/21,0d9d408b20,4d2667cf79,85e1bf,58,21398.88,817559,15,6f1b3d45d8,N,e62e,aedf2f,4c5ae4,8b0bba6896,c586,0,1,edce,2ed4,Series 3,5323729,d4cd,,66c3,100000,N,0,0,a7d8,1,3d,Married,School (upto 10th),INDIA,a9,a9,aa,SANITARY,,SSC,N,HINDI,444000,N,Service,Yearly
2663,No,4/2/21,b07a9a7a7f,9e30b91d98,c20544,58,18461.24,252159,10,9d62b9c9a0,N,e62e,f114ce,4a4470,ddc2924019,eca2,0,0,a48c,2ed4,Series 2,,d4cd,f7f79e,5743,500000,N,0,0,81db,0,fc,Married,PG / Professional,INDIA,a9,a9,aa,SR TEACHER,,Post Graduate,N,ENGLISH,500000,N,Service,Yearly
2664,No,5/2/21,752abfe10d,05f681a953,3deee3,58,50000,816116,12,7ee13d2bd3,N,e62e,aedf2f,47e6f6,807e74e336,c586,0,0,a48c,c4e8,Series 2,5805103,d4cd,3a5d56,c4e8,500000,N,0,0,efc5,0,3d,Married,School (upto 10th),INDIA,a9,a9,9c,HOUSEWIFE,,SSC,N,HINDI,250000,N,Housewife,Yearly
2665,No,10/2/21,21d1b697fa,cdf5b806ad,05a1d9,2483,102250,266781,12,7184d9a006,N,e62e,766048,b8ab0b,fbd163716b,047e,0,1,edce,2ed4,Series 1,5353511,d4cd,00d602,803,712000,N,0,0,671a,0,12,Single,PG / Professional,INDIA,a9,a9,aa,OFFICER,,Post Graduate,N,GUJARATI,600000,N,Service,Yearly
2666,No,1/2/21,3fae017976,69f6ddd900,5c9375,2483,30000,221571,12,892f2d05f0,N,e62e,f114ce,aa7178,0ad4b2f2c6,eca2,0,1,a48c,c4e8,Series 2,9549010,d4cd,9709ef,c4e8,300000,N,0,0,efc5,0,1f,Married,School (upto 10th),INDIA,a9,a9,aa,AGRICULTURIST,,SSC,N,HINDI,420000,N,Agriculturist,Yearly
2667,No,28/1/21,ee9430e216,8ab41d2594,3d7c89,58,40000,747359,12,60eaba63a7,N,e62e,b78361,337d89,a57936388a,f7b0,0,1,a48c,c4e8,Series 2,5644053,d4cd,82a624,c4e8,400000,N,0,0,efc5,0,fc,Married,Graduate,INDIA,a9,a9,aa,CONSTABLE,,Graduate,N,HINDI,504000,N,Service,Yearly
2668,No,5/2/21,17d677ccfa,48e71f3b4c,4fcfa5,58,18263.9,809559,15,72be7f402d,N,e62e,acb844,ca7f24,14e2f658ab,c586,0,1,edce,2ed4,Series 3,5813797,d4cd,84a991,66c3,200000,N,0,0,7d8e,0,1b,Married,Intermediate (10+2),INDIA,a9,a9,9c,AANGAN BADI KARYAKARTA,,HSC,N,HINDI,216000,N,Service,Yearly
2669,No,30/1/21,d5c30f4660,185b7c262e,2f8b93,58,7933.64,855456,10,bcf1875c0e,N,e62e,c0a4a4,892188,9595b0255a,0ff1,0,0,a48c,2ed4,Series 2,5476828,bf55,c70f9c,5743,500000,N,0,0,81db,0,46,Single,Graduate,INDIA,a9,a9,aa,ENGINEER,,Engineer,N,ENGLISH,400000,N,Service,Half yearly
2670,No,29/1/21,6031eba3af,3877ea9f68,5c9375,58,100000,221559,12,f5d13650a2,N,e62e,f114ce,111fd6,60813c2f84,eca2,0,0,edce,c4e8,Series 2,5391499,d4cd,9709ef,c4e8,1000000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,ENGINEER,,Graduate,N,HINDI,480000,N,Service,Yearly
2671,No,1/2/21,c32e19afe7,5fe71434bd,c4f06f,58,200000,779556,10,37b134b8c4,N,e62e,b78361,fce1e0,19ff8ef51f,f7b0,0,1,edce,c4e8,Plan Gold Cover - Series 3,5183150,d4cd,,c4e8,2000000,N,0,0,2a44,0,12,Single,Graduate,INDIA,a9,a9,9c,STUDENT,,Graduate,N,ENGLISH,600000,N,Student,Yearly
2672,No,29/1/21,cee4cedac6,ebb84907e7,29d6d1,58,50000,732556,12,ecd164d403,N,e62e,b78361,aec35a,2d49174fd2,f7b0,0,1,edce,c4e8,Series 2,5003891,d4cd,aebe24,c4e8,500000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,CONSTABLE,,Graduate,N,HINDI,540000,N,Service,Yearly
2673,No,29/1/21,c6596ad91d,8f23b38d07,36cbed,2483,17163.68,749757,12,307ae3ed48,N,e62e,b78361,270fa0,2edc4d090f,f7b0,0,1,edce,803,Series 3,9998785,d4cd,88af36,803,110000,N,0,0,5876,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,AGRICULTURIST,,HSC,N,HINDI,240000,N,Agriculturist,Yearly
2674,No,1/2/21,579abb91da,295a3dec5c,2f8b93,58,18000,855458,10,a321173120,N,f3e3,c0a4a4,6da988,229e95ed67,0ff1,0,1,edce,c4e8,Plan T - Series 2,5,d4cd,c5f8bb,c4e8,180000,N,0,0,e548,0,1b,Married,,INDIA,a9,a9,9c,HOUSEWIFE,,12th Pass/HSC,N,ENGLISH,300000,N,Housewife,Yearly
2675,No,8/2/21,f27f939594,69ec90827c,026e6f,58,18699.48,259852,12,610898b8c4,N,e62e,f114ce,c053de,14c7c8a33b,eca2,0,1,edce,803,Series 3,5395315,d4cd,f6e22c,803,120000,N,0,0,5876,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,GD,,HSC,N,HINDI,540000,N,Army,Yearly
2676,No,28/1/21,37fd3531a4,48f365ba28,5cb653,58,102250,288523,15,51021bef28,N,e62e,f114ce,c185db,f87ae7e84c,eca2,0,1,edce,2ed4,Series 1,9981954,d4cd,9709ef,803,728000,N,0,0,671a,0,1b,Married,School (upto 10th),INDIA,a9,a9,9c,HOUSEWIFE,,Below SSC,N,HINDI,600000,N,Housewife,Yearly
